site,site_code,date,scale_cm,nail,sediment_depth,turf_length,rugo_mean,slope_mean,slope_var,sapr,std_curve,plan_curve,tpi
Southcanyon,SC,20231020,100,7,2,2,-0.27471310308002833,0.7200850640650709,22.26345411,-0.35662229131750606,0.07482283276529524,0.36600439095529363,0.19617941978687004
Southcanyon,SC,20231020,100,8,4,6,-0.16569400476770516,0.5970108926136896,22.50673596,0.25970275780348895,-0.10176687823227643,0.16522794192908993,-0.0513022273342946
Southcanyon,SC,20231020,100,9,3,5,-0.4457499388468375,0.5828952401724748,23.60340321,-0.30352352308807534,0.09099418548017586,-0.16945106209871993,0.14407224863638426
Southcanyon,SC,20231020,100,10,1,1,-0.5113719289341889,-0.08201599446092367,22.01395701,0.09252873971114332,-0.0474906340656916,0.07534371555472885,8.881372115040729e-4
Southcanyon,SC,20231020,100,11,1,1,-0.39996869451015904,0.5045424637209177,22.13024477,-0.2981031095308319,-0.032440173994835966,0.2322550056136063,-0.049593128619847195
Southcanyon,SC,20231020,100,12,1,3,-0.509005622678001,0.7086869675994131,22.65274628,-0.44358344548879935,-0.006478224745965488,0.33240616515492033,0.1584387196461014
Southcanyon,SC,20231020,100,13,1,2,-0.44402436478855123,-0.02796593840192566,21.53740919,-0.28718007266157997,0.20664782925472636,0.23693127955062465,0.16160700974799186
Southcanyon,SC,20231020,100,14,1,2,-0.4807158607363446,0.01311572175074922,21.65925491,0.6248555431513644,-0.23583922623989972,0.20454510446367177,-0.31079891238035234
Southcanyon,SC,20231020,100,15,3,5,-0.4130180188539668,0.9972337202354756,23.37293676,-0.09180329341305518,0.32039286850220255,-1.40072140546954,0.4420479769845536
Southcanyon,SC,20231020,100,16,1,3,-0.29963453800128653,0.6911893681393487,22.74800087,0.38749555102331446,-0.013756770336605223,-0.6556584296956381,-0.1386011007842031
Southcanyon,SC,20231020,100,17,1,3,0.04338966722627726,0.43129851192516555,22.0242819,-0.4264505974636224,0.4006120036616973,-0.06902293345395324,0.5005365324412713
Southcanyon,SC,20231020,100,18,2,4,-0.4471952269691621,-0.9488568937063158,20.73428322,0.16893024735797058,-0.01048371531496062,0.25629880359322627,0.01541406815537289
Southcanyon,SC,20231020,100,19,3,4,-0.5091622484158301,0.6303803117250736,22.82665887,-0.28781140213108614,-0.09142081804291925,-0.02753121123968487,-0.06773438081987054
Southcanyon,SC,20231020,100,20,1,2,-0.36576232932208297,0.015473641171319904,21.98279801,-0.23205834025125238,0.13537752957824156,0.08460667285681674,0.23030947821107348
Southcanyon,SC,20231020,100,21,2,3,-0.24189562136446505,0.7656134075039622,22.04791572,-0.21815552789784795,-0.2260528489666638,-0.062312789021088784,-0.20881766343963593
Southcanyon,SC,20231020,100,22,3,4,0.03343293721168565,0.2366855099003933,21.43287541,-0.24906021658715818,0.17983377981350473,0.07668393133554653,0.08979527881005839
Southcanyon,SC,20231020,100,23,2,4,-0.4128060127285984,0.23010610874760026,21.39385564,-0.178056798612898,-0.09010900701969889,0.24096025987729122,-0.09561263124683517
Southcanyon,SC,20231020,100,24,1,1,-0.41888666516420675,0.5049099492046416,22.73895017,-0.21394370054674086,0.05519563711274208,0.5390163530381614,0.10646311609805105
Southcanyon,SC,20231020,100,25,1,2,-0.35052418709584404,1.0169460033432418,22.62136759,-0.14954282832025986,0.09700230103192108,-0.15257349978907572,0.17157556695521947
Emerald,ER,20250622,25,1,2,3,-0.594046987404951,-1.0946123917742607,17.95392483,-0.5760001965308591,0.8199062950635871,0.2841001841209333,0.2960797670804189
Emerald,ER,20250622,25,2,1,4,-0.5615830269413548,-1.4752975239610961,16.80062235,-0.5765780246482597,0.3931884035618996,0.21097405020253576,0.13467903299872558
Emerald,ER,20250622,25,3,1.3,2,-0.6532699933959147,-0.638645957053268,21.25978273,-0.5774956899731596,0.8598825118299679,0.46112343909747955,0.3165516860193683
Emerald,ER,20250622,25,4,2,4,-0.6095564791077047,-0.5002189803293612,18.02290408,-0.5625592333788942,0.4676656744330999,0.2408355530739331,0.17645921412237595
Emerald,ER,20250622,25,5,4,9,-0.6630696124389249,-1.2530653957238822,15.68874833,-0.5738527124583666,0.7456858012870367,0.21963486093986895,0.26891141276562197
Emerald,ER,20250622,25,6,1,2,-0.3165381374424894,-0.14737268543599963,18.69696269,-0.558795896091754,1.145028732626692,0.19507019136938986,0.40810495790867723
Emerald,ER,20250622,25,7,2,3,-0.5913847526062241,-0.46735276593549924,18.81131454,-0.5395845493728686,1.788044757789789,0.21185340185913917,0.6500321764431337
Emerald,ER,20250622,25,8,3,13,-0.6521012415011469,-0.10126698718823225,20.30921463,-0.5666965469784185,1.721878044608488,0.23445616519799475,0.44353504648018843
Emerald,ER,20250622,25,9,2,5,-0.5255835108952944,-0.8680779325508092,18.10655284,-0.5699419929616242,-0.7803382137245507,-0.28639387842421776,0.010897174569708009
Emerald,ER,20250622,25,10,2,4,-0.446752973466147,-0.9973679599996805,16.83341611,-0.5652696027221756,-0.650084194709995,0.23970908974550567,-0.19486225229050078
Emerald,ER,20250622,25,11,2,3,-0.43189220230356,-1.0290330813085617,16.53382134,-0.5706151646936964,-0.09728631607455614,0.2133785031292136,-0.010912609091952123
Emerald,ER,20250622,25,12,2,6,-0.5916967837012922,-0.13231487750418036,18.95616978,-0.572808278524165,1.124899341102418,0.14294495708861324,0.3836120485688101
Emerald,ER,20250622,50,1,2,3,-0.5463875793082701,-0.3134210032962216,19.99773918,-0.5760001965308591,0.21048113494751983,0.20964634494102327,0.10275362088560194
Emerald,ER,20250622,50,2,1,4,-0.5036714218893836,-1.1549549574206437,17.9977862,-0.5765780246482597,0.29843459438660386,0.302815845639163,0.10918834340903744
Emerald,ER,20250622,50,3,1.3,2,-0.628056080416543,0.3693200995957007,21.91750088,-0.5774956899731596,0.8396078712546045,0.40067517637831956,0.2999265193051385
Emerald,ER,20250622,50,4,2,4,-0.5052155803576875,-0.1854136645522363,19.94706802,-0.5625592333788942,-0.2721956786544976,0.150276562395055,-0.06531787511005827
Emerald,ER,20250622,50,5,4,9,-0.623759289607612,-0.47916403786639283,18.75347632,-0.5738527124583666,-0.005449168587730111,0.05890028691223274,-0.04979716508005649
Emerald,ER,20250622,50,6,1,2,-0.31568075095875936,0.38507105178790857,20.18416742,-0.558795896091754,0.7393338626340293,-0.413248022618351,0.09058255089598269
Emerald,ER,20250622,50,7,2,3,-0.5795249485992952,0.3518362293397635,21.35198023,-0.5395845493728686,0.8244153261713549,-0.10772149636249825,0.29652923045738744
Emerald,ER,20250622,50,8,3,13,-0.6412860842800631,0.1340504761728928,22.02150445,-0.5666965469784185,-0.17010710241116667,-0.47361496224503097,-0.0066434181869804996
